Должность;Отдел;Департамент;Подразделение;Компания;Запланировано;ФС
Генеральный директор;0;22;0;1;1;SALEST
Президент;0;22;0;1;1;UCHR
Исполнительный Вице-президент;0;22;0;1;1;SALEST
Личный помощник;0;22;0;1;3;SALEST
Операционный директор;0;22;0;1;1;UCHR
Генеральный директор;0;23;0;2;0.2;LOGIS
Заместитель директора департамента;0;4;0;1;1;LOGIS
Директор департамента;0;4;0;1;1;LOGIS
Водитель-экспедитор;42;4;0;1;14;LOGIS
Главный механик;42;4;0;1;1;LOGIS
Заместитель начальника склада;43;4;0;1;1;STOCK
Старший кладовщик;43;4;0;1;4;STOCK
Кладовщик-комплектовщик;43;4;0;1;18;STOCK
Оператор;43;4;0;1;1;STOCK
Старший оператор;43;4;0;1;1;STOCK
Водитель погрузчика;43;4;0;1;5;STOCK
Курьер;1;4;0;1;2;LOGIS
Менеджер по транспортной логистике;44;4;0;1;2;LOGIS
Руководитель отдела;44;4;0;1;1;LOGIS
Диспетчер;44;4;0;1;1;LOGIS
Менеджер;45;4;0;1;2;LOGIS
Ассистент отдела;45;4;0;1;1;LOGIS
Руководитель отдела;45;4;0;1;1;LOGIS
Ведущий менеджер;45;4;0;1;2;LOGIS
Заместитель начальника склада;2;4;15;1;1;STOCK
Старший кладовщик;2;4;15;1;8;STOCK
Кладовщик-комплектовщик;2;4;15;1;50;STOCK
Оператор;2;4;15;1;3;STOCK
Диспетчер;2;4;15;1;2;STOCK
Начальник склада;2;4;15;1;1;STOCK
Старший смены №1;2;4;15;1;2;STOCK
Старший смены №2;2;4;15;1;2;STOCK
Менеджер склада;2;4;15;1;1;STOCK
Заместитель начальника склада по приему товара;2;4;15;1;1;STOCK
Водитель погрузчика;2;4;15;1;2;STOCK
Водитель рич-трака;2;4;15;1;5;STOCK
Менеджер по производственной логистике;46;5;0;4;1;PROIZVODST
Начальник производства;46;5;0;4;1;PROIZVODST
Инженер по тестированию;46;5;0;4;2;PROIZVODST
Техник-программист;46;5;0;4;7;PROIZVODST
Директор по бизнес процессам и корпоративному развитию;0;1;0;1;1;HR
Директор департамента;0;1;0;1;1;HR
Специалист по методологии;0;1;0;1;1;HR
Менеджер по корпоративной культуре и коммуникациям;0;1;0;1;1;HR
Офис-менеджер;28;1;0;1;2;HR
Специалист по кадрам;28;1;0;1;1;HR
Руководитель отдела;28;1;0;1;1;HR
Менеджер по персоналу;29;1;0;1;2;HR
Руководитель отдела;29;1;0;1;1;HR
Ведущий менеджер по персоналу;29;1;0;1;1;HR
Заместитель  директора по общим вопросам;0;2;0;1;1;AXO
Менеджер;0;2;0;1;1;AXO
Техник-электрик;0;2;0;1;2;AXO
Специалист по охране труда;0;2;0;1;1;AXO
Сервис-менеджер;0;8;0;1;2;SAF
Заместитель директора по оптическому каналу;0;8;0;1;1;SAF
Региональный менеджер по развитию г. Новосибирск;0;8;0;1;1;NSKT
Менеджер по продукту;0;8;0;1;1;SAF
Региональный менеджер по развитию;0;8;0;1;3;SAF
Менеджер по закупкам;0;8;0;1;2;SAF
Менеджер;0;8;0;1;1;SAF
Менеджер по продажам;0;8;0;1;8;SAF
Бренд-менеджер;0;8;0;1;1;SAF
Ведущий бренд-менеджер;0;8;0;1;1;SAF
Старший менеджер по продажам;0;8;0;1;2;SAF
Менеджер по развитию;0;8;0;1;1;SAF
Менеджер по работе с клиентами;0;8;0;1;3;SAF
Заместитель директора по неоптическому каналу;0;8;0;1;1;SAF
Региональный менеджер по развитию г. Краснодар;0;8;0;1;1;KRDT
Директор дивизиона;0;8;0;1;1;SAF
Региональный менеджер по развитию г. Екатеринбург;0;8;0;1;1;EKAT
Ассистент дивизиона;0;8;0;1;1;SAF
Руководитель регионального развития;0;8;0;1;1;SAF
Менеджер по закупкам и внешней логистике;0;8;0;1;1;SAF
Менеджер по работе с клиентами;47;9;0;2;1;SAF
Менеджер по продажам B2С;47;9;0;2;1;SAF
Менеджер по продажам маркет-плейс;47;9;0;2;1;SAF
Директор департамента;0;3;0;1;1;SALEST
Ведущий специалист;0;3;0;1;1;SALEST
Специалист;0;3;0;1;6;SALEST
Продакт-менеджер;0;3;0;1;1;SALEST
Старший менеджер по внешней логистике;0;3;0;1;1;SALEST
Менеджер по внешней логистике;0;3;0;1;4;SALEST
Ведущий бренд-менеджер;0;3;0;1;1;SALEST
Бренд-менеджер;0;3;0;1;6;SALEST
Менеджер ВЭД;0;3;0;1;1;SALEST
Младший бренд-менеджер;0;3;0;1;2;SALEST
Старший специалист;0;3;0;1;1;SALEST
Директор департамента;0;6;0;1;1;TRAZV
Координатор;0;6;0;1;1;TRAZV
Ассистент менеджера по маркетингу;30;6;0;1;1;TRAZV
Руководитель отдела;30;6;0;1;1;TRAZV
PR - менеджер;30;6;0;1;1;TRAZV
Заместитель руководителя отдела;30;6;0;1;1;TRAZV
Ведущий дизайнер;30;6;0;1;1;TRAZV
Ассистент дизайнера;30;6;0;1;1;TRAZV
Копирайтер;30;6;0;1;1;TRAZV
Контент-специалист;30;6;0;1;1;TRAZV
Специалист по работе со СМИ;30;6;0;1;1;TRAZV
Менеджер по работе с маркетплейсами;30;6;0;1;1;TRAZV
Руководитель отдела;48;6;0;1;1;TRAZV
"Руководитель направления ""Восток""";48;6;0;1;1;TRAZV
"Руководитель направления ""Запад""";48;6;0;1;1;TRAZV
Региональный менеджер по г. Нижний Новгород;48;6;0;1;1;TRAZV
Региональный менеджер по г. Москва;48;6;0;1;1;TRAZV
Региональный менеджер по г. Уфа;48;6;0;1;1;TRAZV
Региональный менеджер по г. Красноярск;48;6;0;1;1;TRAZV
Региональный менеджер по г. Кемерово;48;6;0;1;1;TRAZV
Региональный менеджер по г. Челябинск;48;6;0;1;1;TRAZV
Региональный менеджер по г. Ростову-на-Дону;48;6;0;1;1;TRAZV
Региональный менеджер по г. Иркутск;48;6;0;1;1;TRAZV
Региональный менеджер по г. Пятигорск;48;6;0;1;1;TRAZV
Региональный менеджер по развитию г. Самара;48;6;0;1;1;TRAZV
Региональный менеджер по развитию г. Тула;48;6;0;1;1;TRAZV
Менеджер по развитию;48;6;0;1;1;TRAZV
Менеджер по работе с ключевыми клиентами;0;10;0;1;1;TINT
Директор дивизиона;0;10;0;1;1;TINT
Менеджера по продажам СНГ;0;10;0;1;1;TINT
Координатор дивизиона;0;10;0;1;1;TINT
Директор;0;29;14;7;1;TINT
Исполнительный директор;0;29;14;7;1;TINT
Руководитель филиала;0;11;1;6;1;TINT
Директор по продажам (Балтия);0;11;1;6;1;TINT
Менеджер по продукту и кастомизации;0;11;1;6;1;TINT
Менеджер по продажам;0;11;1;6;1;TINT
Главный бухгалтер;0;11;1;6;1;TINT
Директор департамента;0;7;0;1;1;OIT
Специалист;0;7;0;1;2;OIT
Директор департамента;0;12;0;1;1;FICONT
Ассистент департамента;0;12;0;1;1;FICONT
Руководитель отдела;49;12;0;1;1;UROTD
Старший юрисконсульт;49;12;0;1;1;UROTD
Юрист по судебно-претензионной работе;49;12;0;1;1;UROTD
Корпоративный секретарь;49;12;0;1;0.5;UROTD
Руководитель отдела;50;12;0;1;1;FICONT
Главный специалист;50;12;0;1;4;FICONT
Ведущий специалист;50;12;0;1;1;FICONT
Специалист;50;12;0;1;1;FICONT
Специалист по дебиторской задолженности;50;12;0;1;1;FICONT
Руководитель отдела;51;12;0;1;1;FICONT
Главный специалист;51;12;0;1;1;FICONT
Специалист;22;12;0;1;2;FICONT
Руководитель отдела;22;12;0;1;1;FICONT
Ведущий специалист;22;12;0;1;2;FICONT
Главный специалист;22;12;0;1;2;FICONT
Бухгалтер по расчету заработной платы;23;12;0;1;1;FICONT
Бухгалтер по работе с обособленными подразделениями;23;12;0;1;1;FICONT
Бухгалтер;23;12;0;1;8;FICONT
Главный бухгалтер;23;12;0;1;1;FICONT
Бухгалтер на расчетном счете;23;12;0;1;1;FICONT
Заместитель главного бухгалтера;23;12;0;1;1;FICONT
Бухгалтер по первичной документации;23;12;0;1;1;FICONT
Главный бухгалтер;24;13;0;4;1;FICONT
Бухгалтер-кассир;24;13;0;4;0.5;FICONT
Генеральный директор;0;35;0;3;0.25;SALEST
Бухгалтер;25;14;0;3;0.25;FICONT
Главный бухгалтер;25;14;0;3;1;FICONT
Главный бухгалтер;91;30;0;8;0.25;FICONT
Главный бухгалтер;98;15;0;2;1;FICONT
Руководитель отдела;52;15;0;2;1;UROTD
Директор дивизиона;0;16;0;1;1;SALEST
Ассистент дивизиона;0;16;0;1;1;SALEST
Менеджер по контролю;31;16;0;1;7;SALEST
