Компания;Департамент;Подразделение;Отдел;Должность;Тип тругового договора;Ставка (FTE);Город
ООО Мега-Ф Сервис;IT-департамент;;Дирекция;Генеральный директор;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Дивизион АВТО;;Отдел испытаний;Руководитель отдела;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Инженер-криптоаналитик;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Инженер-разработчик WEB Серверов;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Ведущий инженер группы разработки встраиваемого программного обеспечения;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Ведущий инженер группы разработки мобильных приложений;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Инженер-разработчик;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Разработчик пользовательских интерфейсов;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Разработчик Андроид;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;WEB-разработчик;Трудовой договор;1;Краснодар
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Инженер по тестированию;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;IT-департамент;;Отдел разработки;Ведущий инженер-разработчик;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Дивизион АВТО;;Отдел технической поддержки;Секретарь горячей линии;Трудовой договор;1;
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Менеджер по производственной логистике;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Начальник производства;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Инженер по тестированию;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Инженер по тестированию;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Техник-программист;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Техник-программист;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Техник-программист;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Техник-программист;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент логистики;;Цех;Техник-программист;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент финансов;;Бухгалтерия;Главный бухгалтер;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Департамент финансов;;Бухгалтерия;Бухгалтер-кассир;Трудовой договор;0.5;Москва
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;;Менеджер по работе с клиентами;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;;Менеджер по работе с клиентами;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;;Региональный директор;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Руководитель отдела;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Младший инженер-программист;Трудовой договор;1;Москва
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Младший инженер-программист;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Инженер по тестированию;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Инженер-программист;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Ведущий инженер-программист;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел разработки;Ведущий инженер-программист;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел развития;Руководитель отдела;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел развития;Ведущий дизайнер;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел закупок;Руководитель отдела;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел закупок;Специалист по закупкам;Трудовой договор;1;Санкт-Петербург
ООО Мега-Ф Сервис;Умный Дом;ОП Санкт-Петербург;Отдел тестирования;Старший инженер по тестированию;Трудовой договор;1;Санкт-Петербург
ТФН БИВАЙ;;;Дирекция;Директор по продажам;Трудовой договор;1;Минск
ТФН БИВАЙ;;;Дирекция;Главный бухгалтер;Трудовой договор;1;Минск
ТФН БИВАЙ;;;Отдел продаж;Менеджер по продажам;Трудовой договор;1;Минск
ТФН БИВАЙ;;;Отдел продаж;Менеджер по продажам;Трудовой договор;1;Минск
ТФН БИВАЙ;;;Отдел логистики;Кладовщик;Трудовой договор;1;Минск
ТОО TFN-KZ;Дивизион международного бизнеса;Филиал Казахстан;;Исполнительный директор;Трудовой договор;1;Алматы, Казахстан
ООО ТелеФон;Департамент финансов;;Бухгалтерия;Бухгалтер;Трудовой договор;0.25;Москва
ООО ТелеФон;Департамент финансов;;Бухгалтерия;Главный бухгалтер;Трудовой договор;1;Москва
ООО ТелеФон;Дивизион МОБАЙЛ;;Отдел продаж;Старший менеджер;Трудовой договор;0.25;Москва
ООО ТелеФон;Дивизион МОБАЙЛ;;Отдел продаж;Менеджер по продажам;Трудовой договор;1;Москва
ООО ТелеФон;Дивизион МОБАЙЛ;;Отдел продаж;Менеджер по работе с клиентами;Трудовой договор;1;Москва
ООО ТелеФон;Дивизион МОБАЙЛ;;Отдел продаж;Менеджер по работе с клиентами;Трудовой договор;1;Москва
